fault_name,length,location,sense_of_movement,time_of_movement,associated_earthquakes
Meers Fault,Oklahoma,Oblique slipe,Active,Holocene,None
Mendocino Fracture Zone,California - United States,Transform,Active,None,None
Moab Fault,Utah - United States,Normal fault,Active,None,None
Mocha Fracture Zone,Mocha Island - Chile,Transform,Active,None,None
Motagua Fault,Guatemala,Transform,Active,1717 - 1773 - 1902 - 1976 - 1980 - 2009,None
Mygdonia Graben,North Greece,Normal to strike-slip,Active,1978 Thessaloniki (M6.4),None
Neodani Fault,Japan,Active,1891 Mino–Owari (M8.0),None,None
New Madrid Fault Zone,Missouri - United States,Normal fault,Active,1811–1812 three (M7-8),None
Nootka Fault,British Columbia - Canada,Transform,Active,None,None
North Aegean Trough,>250,North Aegean Sea - Greece - Turkey,Dextral strike-slip,Active,1912 (M7.6); 1982 (M6.7); 2014 (M6.9)
North Anatolian Fault,Turkey,Dextral strike-slip,Active,1939 Erzincan (M7.8) - 1912 Ganos (M7.4) - 1999 Izmit (M7.4) - 1999 Düzce (M7.2),None
North Ikaria Fault,>80,Central Aegean Sea - Greece,Dextral strike slip,None,None
North Island Fault System,500,North Island - New Zealand,Dextral strike slip,Active,None
Palu-Koro Fault,500,Palu - Sigi - Donggala - Indonesia,Sinistral strike-slip,Active,2005 Bora - Sigi earthquake (M6.2) - 2018 Sulawesi earthquake (M7.5)
Periadriatic Seam,1000,Alps - Europe,Dextral strike-slip,None,None
Pichilemu Fault,40,Chile,Active,2010 Pichilemu (Libertador O'Higgins) (M6.9),None
Pliny Trench,300,Eastern Mediterranean Sea - Hellenic Trench,Sinistral strike-slip,None,None
Port Hills Fault,South Island - New Zealand,Active,2011 Christchurch (M6.3),None,None
Pyramid Lake Fault Zone,Nevada - United States,Dextral strike-slip,None,None,None
Ramapo Fault,300,New York - New Jersey - Pennsylvania - United States,Normal fault,Triassic to Early Jurassic,None
Raymond Fault,California - United States,None,None,None,None
Red Sea Rift,Red Sea,Rift zone,None,None,None
Reigolil-Pirihueico Fault,Andes,None,None,None,None
Rhine Rift Valley,Germany and France,Rift zone,Active,1356 Basel (M6 to 7),None
Rio Grande Rift,Rio Grande Valley - United States and Mexico,Rift zone,None,None,None
Salzach-Ennstal-Mariazell-Puchberg Fault System (SEMP),400[3],Austria,Sinistral strike-slip,None,None
San Andreas Fault System (Banning fault - Mission Creek fault - South Pass fault - San Jacinto fault - Elsinore fault),1300,California - United States,Dextral strike-slip,Active,1906 San Francisco (M7.7 to 8.25) - 1989 Loma Prieta (M6.9)
San Ramón Fault,Chile,Thrust fault,None,None,None
Sawtooth Fault,Idaho - United States,Normal fault,None,None,None
Seattle Fault,Washington - United States,Thrust fault,Active,None,None
Septentrional-Orient fault zone,Caribbean,Sinistral strike-slip,Active,1842 Cap-Haïtien (M8.1),None
Sierra Nevada Fault,California - United States,Normal fault,Active,1872 Lone Pine (M7.4–8.3),None
Skyros-Edremit Fault zone,>150,Aegean Sea - Greece - Turkey,Dextral Strike-slip,Active,1967 - 1981
Sobral Fault,Brazil,Strike-slip,None,None,None
Sorong fault,Oceania,Sinistral strike-slip,Active,2009 Kepulauan Talaud (M7.2),None
Sparta Fault,65,Peloponnese - Greece,Normal fault,Active,464 BC Sparta (M7.2)
Spili Fault,20,Crete - Greece,Normal fault,Active,None
Strabo Trench,300,Eastern Mediterranean Sea - Hellenic Trench,Sinistral strike-slip,Active,None
Sunda subduction megathrust,5000,South East Asia,Subduction zone,Active,2004 Banda Aceh (M9.1) - 2005 Nias (M8.6) - 2007 Bengkulu (M8.4)
Tacoma Fault,56,Washington - United States,Thrust fault,Active,None
Tatsuda Fault,Japan,Active,1889 Kumamoto (M6.3),None,None
Tintina Fault,British Columbia - Canadato Alaska - United States,Strike-slip,Late Cretaceous to Oligocene,None,None
Ulakhan Fault,Siberia to Aleutian Trench,Sinistral strike-slip,Active,None,None
Virginia Seismic Zone,Virginia - United States,Active,2011 Virginia (M5.8),None,None
Wabash Valley Seismic Zone,Illinois - Indiana - United States,Normal fault,Active,2008 Illinois (M5.4),None
Wasatch Fault,Utah - United States,Normal fault,Active,None,None
Wellington Fault,North Island - New Zealand,Dextral strike-slip,Active,None,None
Wairarapa Fault,North Island - New Zealand,Dextral strike-slip,Active,1855 Wairarapa (M8.2),None
Wairau Fault,South Island - New Zealand,Dextral strike-slip,Active,None,None
Wilzetta Fault,89,Oklahoma - United States,Strike-slip,Active,2011 Oklahoma (M5.6)
